file_path,label
Dataset2\Black Gram_Anthracnose\100a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\101a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\102a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\103a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\104a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\105a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\106a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\107a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\108a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\109a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\10a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\110a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\111a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\112a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\113a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\114a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\115a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\116a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\117a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\118a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\119a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\11a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\120a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\121a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\122a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\123a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\124a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\125a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\126a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\127a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\128a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\129a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\12a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\130a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\131a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\132a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\133a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\134a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\135a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\136a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\137a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\138a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\139a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\13a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\140a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\141a.jpg,Black Gram_Anthracnose
Dataset2\Black Gram_Anthracnose\142a.jpg,Black Gram_Anthracnose
